Chỉ tiêu,Đơn vị tính,Date,Value
GDP theo giá cố định (2010),Tỷ VNĐ,2013,2543596.0
GDP theo giá cố định (2010),Tỷ VNĐ,2014,2695796.0
GDP theo giá cố định (2010),Tỷ VNĐ,2015,2875856.0
GDP theo giá cố định (2010),Tỷ VNĐ,2016,3054470.0
GDP theo giá cố định (2010),Tỷ VNĐ,2017,3262548.0
GDP theo giá cố định (2010),Tỷ VNĐ,2018,3493399.0
GDP theo giá cố định (2010),Tỷ VNĐ,2019,3738546.0
GDP theo giá cố định (2010),Tỷ VNĐ,2020,3847182.0
GDP theo giá cố định (2010),Tỷ VNĐ,2021,5133981.0
GDP theo giá cố định (2010),Tỷ VNĐ,2022,5550617.0
GDP theo giá cố định (2010),Tỷ VNĐ,2023,5830725.0
